"Notes_RegSheet","n"
"Individual also treated their sample with particulates.",1
"Individual also treated their water with RO.",1
"Individual also treats their water with ""chlorine tabs in cistern"".",1
"Individual also treats their water with a rust filter.",1
"Individual also uses Reverse Osmosis to treat their sple.",1
"Individual also uses their land for ""hay"".",1
"Individual also uses their water for their garden",1
"Individual also uses their water to water their yard.",1
"Individual answered ""N/A"" for X.",2
"Individual answered ""N/A"" for X. Individual tested with MSUEWQ in 2022.",1
"Individual answered ""meat shop"" for Q.",1
"Individual answered ""none"" for X.",1
"Individual answered ""other"" on X with ""2021"".",1
"Individual answered ""taxform"" for L.",1
"Individual answered ""zoom earth"" for L. For Y, they answered ""partial use- reverse osmosis"". Individual tested with MSUEWQ in 2015.",1
"Individual aproximizes their well depth to be 30ft deep.",1
"Individual asked ""Maybe, what's this"" at AA.2.",1
"Individual checked ""Household and garden"" for U, but crossed out U: it seems that their primary use is irrigation of some kind.",1
"Individual does not know their property size. Individual estimates the depth of their well to be 740-1000 ft.",1
"Individual get's their water from ""station at base of mountain off of Shane Creek Road""",1
"Individual has 2 horses for two months, anually. Individual tested with MSUEWQ in 2014.",1
"Individual has a new septic system.",1
"Individual is ""not sure"" about the location of their well. Individual ""would liketo if (illegible)on V.",1
"Individual noted ""Human consumption?"" for U.",1
"Individual noted at O that they considered their property to be ""semi-rural"". Individual tested with well educated in 2018.",1
"Individual noted at Y: ""Lifestraw countertop filter"".",1
"Individual noted that ""LWQD"" was used for location of well. Individual also noted ""developments enroaching"" near classifcation of property (O). Individual noted that there is a ""seasonal guest horse pasture"" on their property. Individual has a ""whole hous",1
"Individual noted that their water is treated with Chlorine and that ""town H2O hauled in"" near drinking water",1
"Individual notes at DD that ""have had company check""",1
"Individual notes that they ""Don't have it"" at K.",1
"Individual notes that they ""do not have a treatment systen"" at W. The samp;e is treated with ""iron filter"".",1
"Individual notes that they treat their water with Chlorine and that the ""town H2O- haulted in"" next to drinking water treatment (Y).",1
"Individual primarily uses their land for ""office + rental"".",1
"Individual test with MT Well Educated in 2021.",1
"Individual tested their water with MSUEWQ in 2021.",1
"Individual tested this well with MSUEWQ in 2019.",1
"Individual tested with MSUEWQ in 2013 and 2016.",1
"Individual tested with MSUEWQ in 2015.",1
"Individual tested with MSUEWQ in 2016.",1
"Individual tested with MSUEWQ in 2017.",1
"Individual tested with MSUEWQ in 2018.",1
"Individual tested with MSUEWQ in 2020.",1
"Individual tested with MSUEWQ in 2021.",1
"Individual tested with MSUEWQ in ~2014.",1
"Individual tested with MUEWQ in 2021. Individual noted on their cost sheet that ""Previously checked by MT Well Educated May, 2021. Nitrate slightly elevated so re-testing now.""",1
"Individual tested with us in 2020.",1
"Individual tested with us in 2021.",2
"Individual thinks their well may be 80ft.",1
"Individual treated their sample with a storm iron.",1
"Individual treated their sample, but does not have a treatment system.",1
"Individual treats their well water with a distiller before drinking.",1
"Individual treats with water softener but have untreated faucets for drinking water. Individual tested with MSUEWQ in 2005 and 2008.",1
"Individual used ""DNRE Well log Report"" to find latitue and longitude.",1
"Individual used ""Well hog"" to find latitude and longititude of well.",2
"Individual used ""on-x"" to calculate well coordinates.",1
"Individual uses micron house filter to folter sample and drinking water.n",1
"Individual uses their land as an Apiary.",1
"Individual uses their land for a ""meat shop"".",1
"Individual uses their land for a trucking business.",1
"Individual uses their land for commerical purposes. Individual noted ""City of GF Water Supply""",1
"Individual wants to know if the water is safe for human consumption for U,",1
"Individual wrote ""5-70 feet"" for depth of well.",1
"Individual wrote ""Assisted living"" for Q. Individual wrote ""none"" for X.",1
"Individual wrote ""NA"" for X. Individual knows that their well is over 25ft.",1
"Individual wrote ""NA"" for Y.",1
"Individual wrote ""No"" for X.",1
"Individual wrote ""none at present for R. Individual will be on septic in the future.",1
"Individual wrote ""rent after firm Joe Johnso water""",1
"Individual wrote on the cost sheet: ""Can you please include SAR [Sodium Absorption Ration]? Calculation thank you!!!""",1
"Individual wrote that they ""sounded it w/ level meter"" nearby where they wrote the depth of their well.",1
"Individual's land is uneveloped with sagebrush. Individual is ""not yet connected to a pump"" for V. Septic is not yet installed",1
"Individual's sample is treated with chlorine.",1
"Individualnoted they used ""LWQD"" near coordinates. Individual pumps their septic system yearly.",1
"Indivodial answered ""Yes"" and ""N/A"" for T.",1
"J) Note: Don't careM) Note: Don't care",1
"J) Noted TS + R: SE4 NW4 Sec. 32 T45 R5W; XW Noted: Coordinates Not Present
R) Noted: N/A",1
"J) Noted: ? No
Y) Noted: We don't drink it",1
"Just purchased property, empty land, existing well; septic is in approval process",1
"K&P) Location of Well and Property Size: ""city water source"" written in boxes in place of ""well""
Q) LandUse: ""Commercial"" written in blank next to checked ""Other"" box
U) PrimaryWaterUseFromWell: ""Commercial"" written in blank next to checked ""Other"" box
",1
"K) ""NA"" written in box; P) ""Not a well"" written in box; X) ""UV"" written next to ""other"" box; CC) ""NA"" written in blank next to ""feet""; DD) ""NA"" written in box",1
"K) ""Same as last tests we have run"" written next to question, no other data given.",1
"K) ""Same as previous tests"" written next to question, no other data given.",1
"K) 46 49.546' -105 11.196' originally entered",1
"K) 46 5' 5.16"" 112 23' 14.200"" originally entered; Q) Forest service lease",1
"K) Ames Addition, Block 203, Lot 22",1
"K) LWQD",2
"K) LWQD
AA) 2017",1
"K) Location of Well: ""Remote Spring"" written in box
CC) DepthOfWell: ""N/A"" written in blank",1
"K) Location of Well: ""see attached"" written in box (but nothing is attached)",1
"K) Location of Well: ""unknown - this is a rental home"" written in box; BB) AgeOfHome: ""More than 30 years"" box also checked",1
"K) Location of Well: wrote ""S33 T04 R15 E Parcel D.""; L) MapMethod: wrote ""? MT Cadastral Map"" next to checked GWIC box; N) GWIC ID given: ""32-0614-33-2-99-01-0000"" was not accepted by Access; Q) LandUse: also checked ""other"" box and wrote ""cabin"" in the",1
"K) Lot 14, BLK 8, Haynes Addition 2",1
"K) N 7.3 22' 42"" E 85.77' originally entered",1
"K) Noted TS + R: SW1/4 of Sec 20 of 32N 27E
U) Noted: House
Y) Noted: RO",1
"K) Noted: ?
R) Noted: None
Y) Noted: N/A",1
"K) Noted: ? In back yard
R) Noted: None
AA) Noted: 5-23-22
BB) Noted: house 35 yrs old
P) Noted: 1+1/3
Left Margin) Noted: This is a retest from 5-23-22",1
"K) Noted: GLWQD",3
"K) Noted: Good Luck!
T) Noted: NA",1
"K) Noted: LWQD",3
"K) Noted: LWQD
CC) Noted: ?",1
"K) Noted: LWQD
R) Noted: None- but 2 dogs
BB) Noted: About 1984(?)",1
"K) Noted: S34 T15 R5E
Q) Selected Other aswell: Mixed use… primary residence. Summer cattle or Hay
R) Noted: Summer Only (~5 Months)
Y) Noted: (Soften)
AA) Noted: 2016",1
"K) Noted: We can't find a log of our well",1
"K) T55 S2 R21E
W) Multiple selected: Untreated, No treatment system",1
"K) There is a note written, but could not read it. R) Retired",1
"K) Township(21), Section (10) included, Range not included.
FF) ""New Septic"" written below ""no"" box.",1
"K) Township, Section, and Range (33E) are provided, but Township and Section are hard to read.
Y) ""w R/O system"" is written next to the question.  48ft well",1
"K) Used Township, Section, Range",26
"K) Used Township, Section, Range Q) Fish Hatchery",2
"K) Used Township, Section, Range Q) Open space X) RO",1
"K) Used Township, Section, Range and hard to read lattitude N) B15042103-001B",1
"K) Used Township, Section, Range""If I do not have correct info on location: DNRC ID C096196-00 GWIC #154658",1
"K) Used Township, Section, RangeQ) Open space",1
"K) Used Township, Section, RangeQ) Range and ForestCC) @80' for view",1
"K) Used Township, Section, and Range",1
"K) Used Townsip, Section, RangeX)Filtered",1
"K) Used township, section, range",49
"K) Used township, section, range X) Particulate, RO, carbon",1
"K) Used township, section, rangeFF) New septic",1
"K) Used township, section, rangeQ)1 acre homestead remaining 44 acres open field and trees",1
"K) Water from Joes water Terry
P) Not our well
BB) home
FF) Town sewer
Parameters Packages) sample at 3pm 12-27",1
"K) XW Noted: Coordinates too far off
Q) Other: Buisness
R) Noted: None",1
"K) retest- same coords as last time",1
"K) underneath longitude, ""ND 11-1-19"" is written.
R) written as 40 hd.",1
"K)Used Township, Section, Range",11
"K)Used Township, Section, Range N) or 157334",1
"L) Actually used Google MapsX) Other: Whole house sediment filter 5 micron",1
"L) Also selected Google Earth
L) Noted: Maps + Cadastral",1
"L) MapMethod: ""GPS"" also selected",1
"L) MapMethod: ""well log report - 10/7/72 Dukins Dora"" written in box; Q) LandUse: ""Recreational"" written in blank next to checked ""Other"" box",1
"L) Montana well log report",1
"L) Multiple selected: Google earth, GPS
AA) Noted: 2020",1
"L) Noted: (ONX maps)
N) Noted: Unable to locate/ determine copy of well log included with sample 2201028
X) Selected Multiple: Water Softner, Particulate
Z) Noted: Gullingan",1
"L) Noted: (ONX maps)
N) Noted: unable to locate/ determine copy of well log included
Z) Noted: Culligan",1
"L) Noted: (ONXHUNT.com)
CC) Noted: 110?",1
"L) Noted: <- They did it
Y) Noted: No!
Individual Parameters Box) Noted: Where is Box 8?",1
"L) Noted: Earth.GOSUR.com
FF) Noted: New Septic 2022",1
"L) Noted: GLWQD",1
"L) Noted: ONX",1
"L) from well log",1
"L) well log",1
"Land Use Other: Meat Shop",1
"Land Use: ""Adult Foster""",1
"Land Use: ""Large suburban plot w/ shop"". 140 ft well",1
"Land Use: Borders National Forest",2
"Land Use: Guests/tourism",1
"Land Use: Gun Range",1
"Land Use: Horse pasture. 40 ft well",1
"Land Use: Meat Shop",1
"Land and water use is for a school; treatment is none",1
"Land class checked as sub-urban and rural",1
"Land is currently being developped",1
"Land use - meat shop",1
"Land use also includes wildlife habitat",1
"Land use is also recreational",1
"Land use is commercial",1
"Land use is recreational",1
"Land use is wildlife",1
"Land use: ""Broadus Meats""",1
"Land use: Broadus Meats; Water Use: Meat shop",1
"Land use: Nursery. Tested last in 2013",1
"Land use: Stock water in summer.  Did not enter but wrote in ""softener"" treatment. 25 - 30 ft well.",1
"Land use: conservation",1
"Land used for horses and roping steers",1
"LandUse: ""Commercial"" written in blank next to ""Other"" box",1
"Landclass was selected as sub-urban and rural
livestock number is 6-8",1
"Lande Use and water use ""Public bar""",1
"Landuse - recreation
Primary water use from well- other wildlife",1
"Landuse selected other and is unreadable
Primary water use was also written as ""Drinnking maybe?""",1
"Last sampled 2016",1
"Last test 2009",1
"Last tested 2010. Coordinates are approximate",1
"Last tested 2012. House parcel is 1-10 acres; Ranch is 50-250.",1
"Last tested 2014",1
"Last tested 2014.",1
"Last tested 2016",1
"Last tested 3/16",1
"Last tested Nov + Dec 2015; well approx 28 ft",1
"Last tested in 2013",1
"Lasted sampled 2005 or 06",1
"Lasted tested 2010.",1
"Lasted tested 2010/2012. 140 ft well",1
"Lasted tested 2011",1
"Lasted tested 2011.",1
"Lasted tested 2013.",1
"Lasted tested 2014; Treated with water softener too",1
"Lasted tested 2017",1
"Lasted treated 2007",1
"Lat and long may be incorrect hard to read
Drinking water uses a houshold filter",1
"Lat. And Long. Coordinates not correct, need to be redone.",1
"Lat/Long data and part L entry have been scribbled over
Wrote 'forest' for part Q
Wrote '2019' on part AA, but marked 'no'",1
"Legal description from GWIC Well log. Total well depth 110 - standing water level 73 ft.",1
"Letter attached",1
"Livestock 2 for 2-3 months K) Used Township, Section, Range",1
"Livestock number was in regards to pairs. Individual also treated their sample with Reverse Osmosis.",1
"Livestock number: 30 Pair
No cost analysis sheet",1
"Livestock ranges from 0-50",1
"Location of well is written as ""in the basement""
Montanawelltestedpreviously: 2017",1
"Lot 56 A Battle Ridge C059A",1
"M) Noted: error
N) Noted: n/a
R) Noted: none
X) Noted: n/a",1
"Mailing Address: 2885 No. 17th Rd Worden, MT 59088",1
"Mailing Address: PO Box 299 59729",1
"Mailing Address: PO Box 68 Custer, MT 59024
Physical Address: 306 4th St. Custer, MT 59024
Yellowstone County",1
"Mailing address noted below testing cost box",1
"Mailing addresss: 1147 Orchard Lane Billings MT 59101
Physical address: 1170 Arlington Ave. Billings MT 59101",1
"Mailing addresss: PO Box 454 Canyon Creek, MT 59633",1
"Mailing and Physical address: 5121 Haynes Rd. Shepherd, MT 59079
U) no drinking of water",1
"Many random notes written on the registation form.
I) - L) - QC the LWQD written next to these questions in the box
FF) New Build written next to check boxes",1
"Map method is well log",1
"Map method well log
treated with Cu filter",1
"Map method: OnX",1
"Map method: google maps",1
"Mapmethod- well log report",1
"Marked 'GWIC' as method but well location is given with legal description
wrote '2 horses' for part R",1
"Marked both 'no' and 'don't know' for part S, but 'don't know' is circled",1
"Masonic organization meeting building",1
"May use water for livestock in future",1
"Montana well test previously in 2018",1
"Montana well test program previously in 2017",1
"Montana well test program previously in 2020",1
"Montana well tested previously in 2016",1
"Montanawelltestprogram last test in 2019",1
"Montanawelltestprogram last tested in 2021",1
"Montanawelltestprogrampreviously in 2020",1
"Montanawelltestprogrampreviously yes, ""about 2 years ago""",1
"MultSamples/HowMany: ""1 set"" circled but no number written in the blank",1
"N) ""Not listed"" written
X) carbon, other: carbon filter",1
"N) Client wrote ""could not find one"".
W) question mark written next to no treatment system box.
CC) Note written ""static water…. 12' "", not sure what the middle word is (indicated by ….).",1
"N) GWIC ID # Not Provided, ""Kimmorrow"" written.
X) Multiple Selected: Water Softner, RO",1
"N) GWIC ID # not given; Noted: rwolff420",1
"N) GWIC Id tomjbird",1
"N) GWIC_ID: ""40B30120130"" written in blank",1
"N) GWIC_ID: ""631 sweathouse"" written in blank",1
"N) GWIC_ID: ""RK1367"" written in blank
X) TreatedWith: ""UV Light"" written in blank next to checked ""Other"" box",1
"N) GWIC_ID: ""hawkgn87"" written in blank;   Previously tested in 2005",1
"N) GWIC_ID: wrote ""our water right # is 41830065583""; P) PropertySize: wrote ""0.97 acress"" next to checked ""Less than 1 acre"" box; AA) WantDVD: wrote ""if free"" next to checked ""Yes"" box; FF) SepticEverPumped: wrote ""previous owner did"" next to checked ""No",1
"N) Geocode: 131870211400000",1
"N) Listed a GWIC Code with Letters, and that was longer than average",1
"N) None located written in space provided on the registration form.
BB) 1979 written next to more than 30 years checkbox on the registration form.
CC) static - 30, GPM - 60 written next to checkboxes on the registration form.",1
"N) Noted: (could not locate, owner was Girdler, James)
Y) Noted: We use brita water filter
AA) Noted: ?",1
"N) Noted: - Not a well, surface water",1
"N) Noted: BDavis8",1
"N) Noted: Don't Know",1
"N) Noted: N/A
U) Noted: Landscape",1
"N) Noted: Township 2N Range 5E SW1/4 NE1/4 Sect. 34
R) Noted: 2 (Horses)
Y) Noted: Installing new softner + RO 8/5/2
CC) Noted: 1 hr pumping 10gpm (Sept. 1987)",1
"N) Noted: could not find information",1
"N) wrote billyraze for GWIC ID",1
"NA written in for email address and livestock number
105 ft well depth",1
"Near active ag field",1
"New Septic/ New Constuction",1
"New Septic; previously tested 11/05/2019",1
"New Well/ New Septic System",1
"New septic",2
"New septic system",1
"Next land use they wrote hay ground.",1
"Next tested with Well Educated program before for the year they wrote 2016?",1
"Next to Location of well they wrote (This should be on you Record).",1
"Next to Location of well they wrote ?. The sample is also treated with Reverse Osmosis. They crossed out the R in Reverse. Livestock number 6000-8000",1
"Next to Primary Drinking Source, says ""if ok to drink""
Next to depth of well, says ""spring water"" and ""not developed yet""",1
"Next to Sample treated with they wrote N/A and next to currently treat drinking water they wrote N/A. 30 ft well depth",1
"Next to age of well or home they wrote Unsure.",1
"Next to age of well they wrote 36 years; 35 ft well depth",1
"Next to approximate age of home they wrote delivery system rebuilt",1
"Next to aware of any inactive wells on property that wrote This Well. For the questions use water from this well as primary drinking source they wrote For future use. 100 ft well depth. Park County, WY.",1
"Next to currently treat water before drinking they wrote N/A.",1
"Next to currently treat well water before drinking they wrote It Is Filtered.",1
"Next to currently treat well water before drinking they wrote N/A; well depth 60 ft",1
"Next to currently treat well water before drinking they wrote NA; 60ft well depth",1
"Next to currently treating drinking water they wrote sediment filter, and next to has septic ever been pumped they wrote May 2017. 65 ft well depth",1
"Next to currently treating drinking water they wrote w/ filter in #(X), at the bottom of the page under ever had septic system pumped they wrote 10/18/19; 158 ft well depth",1
"Next to currently treating well water before drinking they wrote not used yet; no physical street on reg sheet",1
"Next to currrently treat drinking water they wrote -only for sediments for whole house., for approximate age of home they wrote 22y; 125 ft well depth",1
"Next to depth of well they wrote Spring.",2
"Next to email they wrote (l as in Linda). The location of well was given in legal description and coordinates were found by MSUEWQ. The sample was treated with Culligan Sterilight U.V. system. For the year for previously tested with Well Ed they wrote 6/2",1
"Next to first name they also wrote + Elizabeth. The legal description was not useable and for the method to find it they wrote closing documents from realtor. Next to septic system ever pumped they wrote NA; township 10 section 20 range 2; 125 ft well dep",1
"Next to had spetic system pumped that wrote its brand new. 200 ft well depth",1
"Next to household on septic they wrote N/A and next to septic ever been pumped they wrote N/A; township 3S section 3S range 9W; well depth 15 ft",1
"Next to how many livestock, it says ""none close to well"" (no number given)",1
"Next to incative wells on property they wrote This Sample. For use water from this well as primary drinking source they wrote For future use. Park county, WY. 150 ft well depth",1
"Next to land use other they wrote Meat Shop",1
"Next to livestock they wrote horses, and did not include a street, state, or zipcode for the physical address. 110 ft well depth",1
"Next to livestock they wrote horses, they put a question mark next to the year for the question tested well in MT Well Educated Program before. 33ft well depth but not sure",1
"Next to livestock they wrote sheep and lambs (not from this well), in the blank for sample treated with they wrote just the well, next to method used to find latitude and longitude they wrote Tax land description bill, and next to familiarity with well fu",1
"Next to location of well they wrote Information provided via phone call with Eugene Rebich 09/10/20 BB.",1
"Next to location of well they wrote No and method used to find lat and long they wrote No. Next to are the inactive well properly selaed they wrote N/A and next to sample was treated with they wrote N/A. Next to previously tested with Well Ed  for the yea",1
"Next to location of well they wrote QC TH@ LWQD. 70 ft well depth",1
"Next to location of well they wrote See attatched MT Well Log Report. Next to ever had water quality test before they wrote irrigation untreated. 410ft well depth",1
"Next to method of finding latitude and longitude they check google earth and wrote cell phone; county not on reg sheet, rb looked it up and entered; 28 ft well depth; livestock 15-25 range",1
"Next to number of livestock they wrote 10 pairs. Township 29N section 19 range 42E; 146 ft well depth",1
"Next to number of livestock they wrote 40 pairs cattle 6 weeks in fall, and next to septic system ever been pumped they wrote new system. Township 07S section 29N2S2NE4 range 20E; 250ft well depth",1
"Next to number of livestock they wrote cows, there are two samples the other is untreated; marked sample as ""untreated"" and ""treated"" ks looked up to confirm which sample was which",1
"Next to number of livestock they wrote seasonal; 140ft well depth",1
"Next to other in sample was treated with they wrote UV, they wrote spring next to depth of well; township 2S section 18 range 24E",1
"Next to other on predominant land use they wrote Recreational. Next to currently treat water before drinking that wrote N/A. Next to is your household on septic they wrote N/A; well depth 395 ft",1
"Next to other on predominant landuse they wrote Summer Home.",1
"Next to other on sample treated with they wrote course material filter, next to tested with Well Ed before they wrote 2016, well depth ""132 ft static water level""",1
"Next to other on the predominant land use question they wrote Recreational. For the year they have perviously tested in MT Well Educated program they wrote 2019. ~300 ft well depth",1
"Next to phone number they wrote message Cathy",1
"Next to predominant land use they wrote lawn and community garden 1 arce, and circled the garden water part for primary use of well. 27 ft well depth",1
"Next to predominant use of land they wrote seasonal next to the Livestock Related Operation Box, next to livestock number they wrote none right now, next to primary use for well they wrote lawn next to the Household and Garden box. Well depth ""ABT 25 ft""",1
"Next to predominante land use they wrote few goats, next to currently treat drinking water they wrote do not drink, next to tested in MT Well Educated program before for the year they put ""?"" well depth 35-50 ft",1
"Next to previously tested with Well Ed they wrote 2020 for the year.",1
"Next to primary drinking source they wrote ""not yet, but will,"" next to current treat water before drinking they wrote ""not drinking yet, next to approximate age of home or well they wrote unknown,"" and next to household on septic they wrote ""just purchas",1
"Next to property size they wrote 0.93 acre. Next to sample was treated with they wrote NA. township T25 section 536? Ange R5E?",1
"Next to sample treated with they wrote particulate filter and next to septic system ever been pumped they wrote only 1 year old. 40ft well depth. Township 6S section 24 range 20E",1
"Next to sample was treated with they wrote N/A, and Next to familiar with function of well they signed Denise Echterling.",1
"Next to septic ever been pumped they wrote Not yet used; 260ft well depth",1
"Next to tested the well in the MT Well Educated program for the year they wrote 2013, they did not include a city for the physical address. 160 ft well depth",1
"Next to tested this well in the MT Well Education program before they wrote in the year 2019. 60 ft well depth",1
"Next to tested with Well Educated before they put 2016 for the year. 120 ft well depth",1
"Next to tested with the Well Educated Program before they wrote 2018?",1
"Next to the Lat and Long they wrote LWQD DB; county not listed on reg sheet, krs entered",1
"Next to the household on septic and has the septic ever been pumped they wrote N/A. They did not include a city, datae or zipcode for the physical address, entered ourselves; 610 ft well depth",1
"Next to the phone number they wrote x6. Next to other on predominant land use they wrote Commercial.",1
"Next to the question have you ever had this well in the Well Educated program in the blank spot for if yes what year, they put ?; 140ft well depth",1
"No Cost Analysis Sheet",1
"No Data and two extra pages of COC and ARR and bottle order",1
"No Email Listed",1
"No Phone Number Listed",1
"No Phone Number Provided",1
"No county given on reg sheet
wrote 'spring' on part BB",1
"No data provided",1
"No data provided besides land use.",1
"No email Listed
V) Noted: Used for cooking [illegible afterwards]",1
"No info for this reg sheet",1
"No parameters or parameter packages checked, no analysis cost specified",1
"No septic yet - new build",1
"No septic; no home yet",1
"Not a well, however they did not check box that says ""not a well""",1
"Not primary drinking source right now but plan to",1
"Not primary drinking source until test results come in",1
"Not sure about well depth",1
"Not sure about well depth.",1
"Not sure if tested with MSUEWQ before",1
"Note on paper asks for results to be shared with Ron Nemec (Rnemec@mt.gov or 406-232-8346).",1
"Note written on the side of BB), however, can't read it.",1
"Note: ""Contact Aaron paulson"" at 406-581-1607.",1
"Note: Our well is not on the GWIC. Our well log is incorrectly associated with our neighbors property to the wes. Our water right # is 41H 89720-00",1
"Noted below 'Testing Cost' Box: Thank you!",1
"O) ""Private"" written in box",1
"O) LandClass: ""Rural"" box also checked",1
"O) LandClass: ""Sub-Urban"" box also checked
CC) DepthofWell: ""or 65'"" also written in blank",1
"O) LandUse: ""Commercial"" written in blank next to checked ""Other"" box; U) PrimaryWaterUseFromWell: ""Shop"" written next to checked ""Other"" box; N) GWIC_ID: ""no water right on well, may not be logged either"" written in blank",1
"O) Note: in subdivision",1
"O) Small town",1
"Old Well is 24'; New Well is 82'",1
"On the back of the registration form, the client wrote ""this is a retest r:1800075 8-22-19"". 26 ft well",1
"On the tracking number they wrote 6-15-20 @3: PM; depth 20 ft",1
"Only wants to share with sanitarian - Megan Bullock, RS County Sanitarian, PO Box 4, Boulder, MT 59632",1
"Only wrote total cost",1
"Other land use is grazing",1
"Other mailing/physical address given: 2651 Rd 16 N, Worden, MT 59088",1
"Other phone number: 357-2850",1
"Other phone number: 785-231-9742",1
"Owner indicated ""I have already sent you a 50 dollar check that you cashed for this sample. [Checkmark] #1007.""",1
"P) Note: ""I do not own or No"" Q) Other: City X) Other: filter EE) Note: City Septic",1
"P) Note: Ramshorn View Estates-Community well
X) Other: oxidation and filter w/ carbon
DD) Note: N/A community well",1
"P) Noted: ?
R) Noted: Not sure neighbor
U) Noted: School
AA) Noted: Not Sure",1
"P) Noted: I haul my water from Valier
S -T) Noted: NA
U) Noted: Cistern; NA
V) Noted: Cistern
Z) Noted: Cistern
BB) Noted: Cistern
DD) Noted: Cistern",1
"P) PropertySize: ""250-1000 acres"" also selected",1
"P) PropertySize: ""50-250"" box also checked",1
"P) PropertySize: ""serves three 0.5 acre properties"" written in box; Q) LandUse: ""surrounded by farm"" written under checked ""Residential"" box; FF) SepticEverPumped: ""Not since buying house in 2016"" and ""definitely pumped in 2010"" written in box",1
"Parameter Packages Note: +20 for postage, $120.00",1
"Park County WY; depth 79ft",1
"Park County, WY",1
"Park County, WY; Depth 300 ft",1
"Parky County WY; previous well ed testing in 2020",1
"Participant unsure if GWIC ID is correct; depth ""295???"" ft",1
"Particulate and RO Treatment also
24ft well",1
"Particulate and Reverse Osmosis treated as well",1
"Particulate and carbon treatment",1
"Phone Number ext. 103",3
"Phone number belongs to Bret Barney
U) Livestock and Other: drink human",1
"Physical Adress had 5 1/2 S 35, tin, R 49E written in box
livestock ranges 25-75
New spring development- age of home",1
"Physical address of well has ""Subdivision water supply broadwater estates"" written. Next to Property Size they wrote Subdivision Water Supply. They wrote NA next to Primary use for well, use as primary drinking source, currently treat drinking water, had",1
"Physical address they did not include a city. 100 ft well depth",1
"PhysicalStreet: ""East Rosebud Lake"" written below address; LandUse: cabin on East Rosebud Lake",1
"Pond; cattle dead in area",1
"Post-it note attached saying ""The house water comes from a 1200 gal cement cistren, which is spring fed""",1
"Potato wash facility",1
"Predominant land use: Forest with camping 
Primary drinking source: No, but would like to 
Age of well: selected both (2 to 5 years) and (5 to 15 years)",1
"Predominant land use: RV",1
"Predominant land use: commercial building",1
"Predominant land use: market garden",1
"Previous Well Ed Test in 2022",1
"Previous owners had septic system pumped",1
"Previously Tested 2018",1
"Previously tested 2017",1
"Previously tested 2017, AA) Yes, in the year 2017FF) Yes, on 11/29/2018",1
"Previously tested 2018",1
"Previously tested 2018, X) water softener and RO boxes both checked",1
"Previously tested 2018, X)Water softener and RO",1
"Previously tested in 2011/2012",1
"Previously tested in 2016",1
"Previously tested in 2017",1
"Previously tested in 2018",2
"Primary drinking water: Not yet
Septic: Not yet",1
"Primary use: geothermal and pond w/ fish",1
"Primary water use was selected as other: drinking
Treated with was selected as other: water filter",1
"Primary water use: household, livestock and spraying. 950 ft well; sometimes used as primary drinking source; septic pumped bi-anually",1
"Probably not a well",2
"Property 100' from potato field",1
"Property Use is Broadus Meats",1
"Property description ""Forest with home""",1
"Property is on subdivision Well-Ramshorn View Estates
depth of well: Ramshorn View Estates-sundivision well",1
"Property is rented",1
"Put ""a lot"" for # of livestock",1
"Put 41H-85991-00 in GWIC code spot",1
"Put 43QJ 30103980 for well code",1
"Put TH GLWQD next to coordinates.",1
"Put depth of well as ""surface""",1
"Q) Adult foster home",1
"Q) Broadus Meats",1
"Q) Church camp",3
"Q) Client wrote ""garden"" in Other category and residential, put ""residential"" into database.
U) Client circled the ""garden water"" in the ""household and garden water"" cetegory and checked off irrigation, put into database as ""household and irrigation"".",1
"Q) Forest",1
"Q) Forestry",1
"Q) LandUse: ""2 horses"" written in blank next to checked ""Other"" box",1
"Q) LandUse: ""Broadus Meats"" written in blank next to checked ""Other"" box",1
"Q) LandUse: ""Business"" written in blank next to checked ""Other"" box",1
"Q) LandUse: ""Church Building"" written in blank next to checked ""Other"" box
x) TreatedWith: ""filtered"" written in margins",1
"Q) LandUse: ""Education"" written in blank next to checked ""Other"" box",2
"Q) LandUse: ""Farm converting to residential + Livestock related (horses)"" written in blank next to unchecked ""Other"" box",1
"Q) LandUse: ""Garden"" written next to checked ""Other"" box
U) PrimaryWaterUseFromWell: ""Garden"" written next to checked ""Other"" box",1
"Q) LandUse: ""Greenhouse"" written next to checked ""Other"" box",1
"Q) LandUse: ""Home"" written in checked other box",1
"Q) LandUse: ""Horse Pasture"" written in blank next to checked ""Other"" box",1
"Q) LandUse: ""Next to active farm"" written in blank next to unchecked ""Other"" box
Y) CurrentlyTreatDrinkingWater: ""Britta + H2O softner"" written in box",1
"Q) LandUse: ""Nursery"" written next to checked ""Other"" box",1
"Q) LandUse: ""Nursery/Landscape"" written next in blank next to checked ""Other"" box",1
"Q) LandUse: ""Original farm house and pasture"" written in blank next to checked ""Other"" box",1
"Q) LandUse: ""Previously Grazing"" written in blank next to checked ""Other"" box",1
"Q) LandUse: ""Ranch"" written in blank next to unchecked ""Other"" box",1
"Q) LandUse: ""Recreation"" written in blank next to checked ""Other"" box
X) TreatedWith: ""N/A"" written in blank next to checked ""Other"" box
CC) DepthOfWell: ""Artisian"" written in blank",1
"Q) LandUse: ""Recreational"" written in blank next to checked ""Other""
Y) CurrentlyTreatDrinkingWater: ""use stand alone filtration system"" written in box",1
"Q) LandUse: ""Recreational"" written in blank next to checked ""Other"" box",1
"Q) LandUse: ""Tree Farm"" written in blank next to checked ""Other"" box",1
